Frame,ActiveState,Delta Time
0,1,0.2636
1,1,0.262
2,1,0.33884
3,1,0.2636
4,1,0.33952
5,1,0.2638
6,1,0.33804
7,1,0.3384
8,1,0.26564
9,1,0.3386
10,1,0.26404
11,1,0.26468
12,1,0.33996
13,1,0.26392
14,1,0.26516
15,1,0.26424
16,1,0.3386
17,1,0.26348
18,1,0.2658
19,1,0.26484
20,1,0.2636
21,1,0.33976
22,1,0.26376
23,1,0.33916
24,1,0.33912
25,1,0.33952
26,1,0.26316
27,1,0.2652
28,1,0.33884
29,1,0.26472
30,1,0.26432
31,1,0.26232
32,1,0.26384
33,1,0.34124
34,1,0.26456
35,1,0.33776
36,1,0.26548
37,1,0.26388
38,1,0.266
39,1,0.26444
40,1,0.26596
41,1,0.26412
42,1,0.26348
43,1,0.34064
44,1,0.33972
45,1,0.34004
46,1,0.3384
47,1,0.3392
48,1,0.33764
49,1,0.34076
50,1,0.33936
51,1,0.34144
52,1,0.26504
53,1,0.34112
54,1,0.26392
55,1,0.26224
56,1,0.3408
57,1,0.26372
58,1,0.34128
59,1,0.26508
60,1,0.33912
61,1,0.33808
62,1,0.2642
63,1,0.33872
64,1,0.26504
65,1,0.34408
66,1,0.26464
67,1,0.33732
68,1,0.26324
69,1,0.2646
70,1,0.3378
71,1,0.26528
72,1,0.26324
73,1,0.33796
74,1,0.26284
75,1,0.2648
76,1,0.33736
77,1,0.26428
78,1,0.26496
79,1,0.26492
80,1,0.26112
81,1,0.33856
82,1,0.26708
83,1,0.263
84,1,0.2638
85,1,0.2632
86,1,0.33624
87,1,0.26324
88,1,0.263
89,1,0.26352
90,1,0.33784
91,1,0.33724
92,1,0.26592
93,1,0.26484
94,1,0.33996
95,1,0.34364
96,1,0.2632
97,1,0.33932
98,1,0.26272
99,1,0.2628
100,1,0.2644
101,1,0.26236
102,1,0.26508
103,1,0.2634
104,1,0.26424
105,1,0.26324
106,1,0.26388
107,1,0.26324
108,1,0.33724
109,1,0.26452
110,1,0.26604
111,1,0.2644
112,1,0.26588
113,1,0.33868
114,1,0.2642
115,1,0.33996
116,1,0.33944
117,1,0.26488
118,1,0.33776
119,1,0.33676
120,1,0.33952
121,1,0.26352
122,1,0.26324
123,1,0.26432
124,1,0.34108
125,1,0.2642
126,1,0.26428
127,1,0.26372
128,1,0.263
129,1,0.34116
130,1,0.26388
131,1,0.26564
132,1,0.26356
133,1,0.26572
134,1,0.26368
135,1,0.33812
136,1,0.338
137,1,0.264
138,1,0.33668
139,1,0.26472
140,1,0.34132
141,1,0.26416
142,1,0.26244
143,1,0.33904
144,1,0.33832
145,1,0.3392
146,1,0.33956
147,1,0.33924
148,1,0.26376
149,1,0.26612
150,1,0.26412
151,1,0.33912
152,1,0.2644
153,1,0.26468
154,1,0.26472
155,1,0.26472
156,1,0.2642
157,1,0.33884
158,1,0.29892
159,1,0.29668
160,1,0.33908
161,1,0.29976
162,1,0.34396
163,1,0.3422
164,1,0.365
165,1,0.34164
166,1,0.34032
167,1,0.33872
168,1,0.33892
169,1,0.34172
170,1,0.37288
171,1,0.34152
172,1,0.29668
173,1,0.30104
174,1,0.35308
175,1,0.34612
176,1,0.34284
177,1,0.31416
178,1,0.29856
179,1,0.29764
180,1,0.29724
181,1,0.29664
182,1,0.29928
183,1,0.29916
184,1,0.33692
185,1,0.34728
186,1,0.3404
187,1,0.34132
188,1,0.34268
189,1,0.29812
190,1,0.34684
191,1,0.34172
192,1,0.33816
193,1,0.34528
194,1,0.38516
195,1,0.34012
196,1,0.34424
197,1,0.3444
198,1,0.3382
199,1,0.34288
200,1,0.3698
201,1,0.34464
202,1,0.34436
203,1,0.33616
204,1,0.30076
205,1,0.34068
206,1,0.33928
207,1,0.3394
208,1,0.29932
209,1,0.34068
210,1,0.29792
211,1,0.29736
212,1,0.299
213,1,0.33696
214,1,0.3372
215,1,0.2972
216,1,0.2966
217,1,0.2958
218,1,0.29788
219,1,0.29868
220,1,0.29888
