Frame,ActiveState,Delta Time
0,1,0.1282
1,1,0.12744
2,1,0.13028
3,1,0.12976
4,1,0.12864
5,1,0.1288
6,1,0.12892
7,1,0.12864
8,1,0.129
9,1,0.1266
10,1,0.13072
11,1,0.12904
12,1,0.12888
13,1,0.12868
14,1,0.12872
15,1,0.1274
16,1,0.127
17,1,0.1452
18,1,0.14392
19,1,0.1352
20,1,0.12748
21,1,0.1272
22,1,0.12992
23,1,0.12936
24,1,0.12924
25,1,0.13368
26,1,0.12728
27,1,0.128
28,1,0.1316
29,1,0.13552
30,1,0.12664
31,1,0.12832
32,1,0.14892
33,1,0.12804
34,1,0.1272
35,1,0.12992
36,1,0.12772
37,1,0.12868
38,1,0.14388
39,1,0.12804
40,1,0.1286
41,1,0.12796
42,1,0.12692
43,1,0.12936
44,1,0.13188
45,1,0.1282
46,1,0.13036
47,1,0.14252
48,1,0.12916
49,1,0.12844
50,1,0.1294
51,1,0.13072
52,1,0.14356
53,1,0.12764
54,1,0.14352
55,1,0.12984
56,1,0.13048
57,1,0.14096
58,1,0.12972
59,1,0.12988
60,1,0.14652
61,1,0.12832
62,1,0.12872
63,1,0.1366
64,1,0.12728
65,1,0.12668
66,1,0.12736
67,1,0.13088
68,1,0.129
69,1,0.12816
70,1,0.12932
71,1,0.1294
72,1,0.1298
73,1,0.12748
74,1,0.12876
75,1,0.129
76,1,0.14572
77,1,0.1284
78,1,0.1272
79,1,0.13128
80,1,0.12816
81,1,0.14184
82,1,0.1294
83,1,0.12864
84,1,0.12884
85,1,0.13024
86,1,0.12936
87,1,0.12988
88,1,0.12748
89,1,0.14536
90,1,0.12688
91,1,0.1282
92,1,0.12864
93,1,0.1274
94,1,0.12968
95,1,0.12604
96,1,0.12696
97,1,0.1288
98,1,0.14316
99,1,0.129
100,1,0.13384
101,1,0.13012
102,1,0.12916
103,1,0.12752
104,1,0.13028
105,1,0.1284
106,1,0.12668
107,1,0.12956
108,1,0.14748
109,1,0.13076
110,1,0.129
111,1,0.12912
112,1,0.15192
113,1,0.12856
114,1,0.1304
115,1,0.1282
116,1,0.13036
117,1,0.14272
118,1,0.12828
119,1,0.12884
120,1,0.1344
121,1,0.1278
122,1,0.12612
123,1,0.12988
124,1,0.1282
125,1,0.1262
126,1,0.12916
127,1,0.12988
128,1,0.13072
129,1,0.12852
130,1,0.1284
131,1,0.13068
132,1,0.12776
133,1,0.1462
134,1,0.14124
135,1,0.12744
136,1,0.12744
137,1,0.13108
138,1,0.12624
139,1,0.12776
140,1,0.1306
141,1,0.14476
142,1,0.1266
143,1,0.13004
144,1,0.12888
145,1,0.1286
146,1,0.13032
147,1,0.12732
148,1,0.12848
149,1,0.14768
150,1,0.14864
151,1,0.12928
152,1,0.12876
153,1,0.12892
154,1,0.14712
155,1,0.12876
156,1,0.133
157,1,0.13028
158,1,0.12784
159,1,0.12744
160,1,0.12908
161,1,0.12788
162,1,0.13072
163,1,0.13804
164,1,0.13424
165,1,0.1314
166,1,0.13516
167,1,0.13032
168,1,0.12676
169,1,0.13004
170,1,0.14496
171,1,0.12936
172,1,0.1284
173,1,0.12888
174,1,0.13248
175,1,0.13244
176,1,0.131
177,1,0.14752
178,1,0.12896
179,1,0.14292
180,1,0.1306
181,1,0.151
182,1,0.12788
183,1,0.13248
184,1,0.13176
185,1,0.13804
186,1,0.12708
187,1,0.1288
188,1,0.13088
189,1,0.12808
190,1,0.14088
191,1,0.15148
192,1,0.12936
193,1,0.1324
194,1,0.12876
195,1,0.14484
196,1,0.13496
197,1,0.12912
198,1,0.14712
199,1,0.12892
200,1,0.1304
201,1,0.15232
202,1,0.14696
203,1,0.14884
204,1,0.1304
205,1,0.1312
206,1,0.13616
207,1,0.12928
208,1,0.1294
209,1,0.12956
210,1,0.12868
211,1,0.12884
212,1,0.12812
213,1,0.12808
214,1,0.12796
215,1,0.1482
216,1,0.12912
217,1,0.12784
218,1,0.12808
219,1,0.13032
220,1,0.12864
221,1,0.12596
222,1,0.12996
223,1,0.13636
224,1,0.14352
225,1,0.12908
226,1,0.1284
227,1,0.12996
228,1,0.18092
229,1,0.12792
230,1,0.12628
231,1,0.13008
232,1,0.12012
233,1,0.12832
234,1,0.12804
235,1,0.1284
236,1,0.13
237,1,0.13024
238,1,0.1284
239,1,0.12936
240,1,0.13104
241,1,0.12964
242,1,0.12792
243,1,0.12808
244,1,0.12784
245,1,0.1282
246,1,0.13136
247,1,0.1282
248,1,0.12788
249,1,0.12752
250,1,0.14664
251,1,0.12864
252,1,0.12816
253,1,0.12784
254,1,0.12876
255,1,0.12844
256,1,0.12976
257,1,0.12964
258,1,0.12808
259,1,0.1296
260,1,0.12868
261,1,0.12804
262,1,0.12744
263,1,0.129
264,1,0.1274
265,1,0.12912
266,1,0.12748
267,1,0.13128
268,1,0.12984
269,1,0.1292
270,1,0.1288
271,1,0.12828
272,1,0.13232
273,1,0.14632
274,1,0.12864
275,1,0.12976
276,1,0.12812
277,1,0.12756
278,1,0.12744
279,1,0.12984
280,1,0.12852
281,1,0.13016
282,1,0.14856
283,1,0.1294
284,1,0.12756
285,1,0.14652
286,1,0.1466
287,1,0.12728
288,1,0.1248
289,1,0.12872
290,1,0.13052
291,1,0.1484
292,1,0.12784
293,1,0.12908
294,1,0.1268
295,1,0.12948
296,1,0.12732
297,1,0.12916
298,1,0.12852
299,1,0.12728
300,1,0.126
301,1,0.12692
302,1,0.12796
303,1,0.13556
304,1,0.13024
305,1,0.12796
306,1,0.12668
307,1,0.14508
308,1,0.13
309,1,0.13164
310,1,0.12688
311,1,0.1286
312,1,0.14488
313,1,0.12648
314,1,0.12816
315,1,0.12832
316,1,0.12852
317,1,0.14604
318,1,0.12868
319,1,0.12884
320,1,0.14472
321,1,0.12872
322,1,0.12828
323,1,0.14512
324,1,0.1262
325,1,0.14584
326,1,0.12792
327,1,0.1342
328,1,0.1294
329,1,0.12888
330,1,0.1264
331,1,0.13048
332,1,0.14128
333,1,0.12772
334,1,0.13164
335,1,0.1266
336,1,0.14496
337,1,0.12688
338,1,0.14408
339,1,0.13024
340,1,0.12844
341,1,0.13156
342,1,0.1276
343,1,0.12748
344,1,0.14528
345,1,0.12732
346,1,0.13092
347,1,0.12844
348,1,0.12616
349,1,0.1254
350,1,0.1298
351,1,0.12728
352,1,0.12848
353,1,0.1286
354,1,0.12692
355,1,0.128
356,1,0.1274
357,1,0.12844
358,1,0.1306
359,1,0.12876
360,1,0.12764
361,1,0.12864
362,1,0.14616
363,1,0.12972
364,1,0.13004
365,1,0.12724
366,1,0.12816
367,1,0.12776
368,1,0.14452
369,1,0.1288
370,1,0.12932
371,1,0.1282
372,1,0.12964
373,1,0.14548
374,1,0.12756
375,1,0.1352
376,1,0.12804
377,1,0.13032
378,1,0.1474
379,1,0.12876
380,1,0.12756
381,1,0.148
382,1,0.1288
383,1,0.1294
384,1,0.12712
385,1,0.1298
386,1,0.13584
387,1,0.13132
388,1,0.13392
389,1,0.1312
390,1,0.12864
391,1,0.14364
392,1,0.12948
393,1,0.1296
394,1,0.1322
395,1,0.12628
396,1,0.12788
397,1,0.14412
398,1,0.12968
399,1,0.12692
400,1,0.12648
401,1,0.13084
402,1,0.1276
403,1,0.12812
404,1,0.1256
405,1,0.14328
406,1,0.13276
407,1,0.12924
408,1,0.12836
409,1,0.12852
410,1,0.12604
411,1,0.1268
412,1,0.13928
413,1,0.12988
414,1,0.129
415,1,0.14308
416,1,0.143
417,1,0.14448
418,1,0.13
419,1,0.12544
420,1,0.12444
421,1,0.12528
422,1,0.12716
423,1,0.12332
424,1,0.13996
425,1,0.12576
426,1,0.12512
427,1,0.12528
428,1,0.1268
429,1,0.12548
430,1,0.12508
431,1,0.14112
432,1,0.12436
433,1,0.12404
434,1,0.13032
435,1,0.14272
436,1,0.12564
437,1,0.12612
438,1,0.14312
439,1,0.12536
440,1,0.12792
441,1,0.12436
442,1,0.13652
443,1,0.12428
444,1,0.1246
445,1,0.1274
446,1,0.14024
447,1,0.14
448,1,0.14184
449,1,0.12768
450,1,0.12416
451,1,0.125
452,1,0.12624
453,1,0.13788
454,1,0.12348
455,1,0.12692
456,1,0.12152
457,1,0.12488
458,1,0.13948
459,1,0.1252
460,1,0.1246
461,1,0.1254
462,1,0.12572
463,1,0.14184
464,1,0.12876
465,1,0.12616
466,1,0.12532
467,1,0.12764
468,1,0.1226
469,1,0.1236
470,1,0.1234
471,1,0.12328
472,1,0.13904
473,1,0.1234
474,1,0.12256
475,1,0.12528
476,1,0.12288
477,1,0.12588
478,1,0.12832
479,1,0.13876
480,1,0.12236
481,1,0.123
482,1,0.1236
483,1,0.13912
484,1,0.1416
485,1,0.123
486,1,0.12644
487,1,0.12508
488,1,0.1238
489,1,0.12628
490,1,0.12504
491,1,0.1354
492,1,0.12404
493,1,0.1234
494,1,0.1242
495,1,0.12488
496,1,0.1238
497,1,0.12028
498,1,0.12456
499,1,0.13344
500,1,0.1218
501,1,0.12512
502,1,0.12164
503,1,0.12184
504,1,0.1238
505,1,0.12432
506,1,0.14036
507,1,0.12328
508,1,0.12508
509,1,0.12316
510,1,0.12448
511,1,0.1248
512,1,0.12532
