Frame,ActiveState,Delta Time
0,1,0.113
1,1,0.11216
2,1,0.11292
3,1,0.1116
4,1,0.11228
5,1,0.11276
6,1,0.11288
7,1,0.11432
8,1,0.11296
9,1,0.11328
10,1,0.11748
11,1,0.11352
12,1,0.1154
13,1,0.11272
14,1,0.11196
15,1,0.11204
16,1,0.11272
17,1,0.1116
18,1,0.11152
19,1,0.11176
20,1,0.11128
21,1,0.1112
22,1,0.11188
23,1,0.1118
24,1,0.11204
25,1,0.1126
26,1,0.11144
27,1,0.11144
28,1,0.1138
29,1,0.11244
30,1,0.11328
31,1,0.17936
32,1,0.11192
33,1,0.1132
34,1,0.1134
35,1,0.1118
36,1,0.11296
37,1,0.11304
38,1,0.1126
39,1,0.1134
40,1,0.1136
41,1,0.11268
42,1,0.11392
43,1,0.11232
44,1,0.11096
45,1,0.18612
46,1,0.11364
47,1,0.11192
48,1,0.11236
49,1,0.11344
50,1,0.1882
51,1,0.12576
52,1,0.11252
53,1,0.11308
54,1,0.18464
55,1,0.1106
56,1,0.11212
57,1,0.1132
58,1,0.18088
59,1,0.11228
60,1,0.1128
61,1,0.11308
62,1,0.1116
63,1,0.11212
64,1,0.11328
65,1,0.1142
66,1,0.11192
67,1,0.11272
68,1,0.11352
69,1,0.11276
70,1,0.11488
71,1,0.18392
72,1,0.11256
73,1,0.11364
74,1,0.11204
75,1,0.11244
76,1,0.11348
77,1,0.11388
78,1,0.11232
79,1,0.11496
80,1,0.11156
81,1,0.11168
82,1,0.11148
83,1,0.11204
84,1,0.11372
85,1,0.11224
86,1,0.11356
87,1,0.112
88,1,0.11268
89,1,0.11288
90,1,0.11408
91,1,0.11476
92,1,0.1118
93,1,0.11232
94,1,0.11272
95,1,0.1128
96,1,0.11088
97,1,0.11308
98,1,0.11088
99,1,0.11896
100,1,0.11212
101,1,0.1128
102,1,0.11356
103,1,0.11248
104,1,0.111
105,1,0.12992
106,1,0.1126
107,1,0.11736
108,1,0.11812
109,1,0.11528
110,1,0.11988
111,1,0.11804
112,1,0.11876
113,1,0.1188
114,1,0.11852
115,1,0.129
116,1,0.11772
117,1,0.1188
118,1,0.12704
119,1,0.11812
120,1,0.12212
121,1,0.11632
122,1,0.12552
123,1,0.11484
124,1,0.12044
125,1,0.11692
126,1,0.11816
127,1,0.11744
128,1,0.11624
129,1,0.132
130,1,0.11984
131,1,0.12
132,1,0.12496
133,1,0.11912
134,1,0.11844
135,1,0.12952
136,1,0.12704
137,1,0.11684
138,1,0.1188
139,1,0.12676
140,1,0.1184
141,1,0.11876
142,1,0.11824
143,1,0.11664
144,1,0.122
145,1,0.13076
146,1,0.12552
147,1,0.11708
148,1,0.13056
149,1,0.11588
150,1,0.1178
151,1,0.1208
152,1,0.11584
153,1,0.12684
154,1,0.11616
155,1,0.11816
156,1,0.11924
157,1,0.11736
158,1,0.14148
159,1,0.13992
160,1,0.21632
161,1,0.25396
162,1,0.26652
163,1,0.25172
164,1,0.24904
165,1,0.1596
166,1,0.2124
167,1,0.2662
168,1,0.14472
169,1,0.14496
170,1,0.14152
171,1,0.1478
172,1,0.14612
173,1,0.1464
174,1,0.16556
175,1,0.228
176,1,0.15792
177,1,0.13952
178,1,0.14448
179,1,0.14296
180,1,0.14212
181,1,0.14164
182,1,0.14248
183,1,0.14272
184,1,0.14764
185,1,0.22116
186,1,0.14724
187,1,0.21948
188,1,0.16392
189,1,0.22964
190,1,0.25164
191,1,0.25324
192,1,0.1634
193,1,0.26248
194,1,0.16768
195,1,0.2436
196,1,0.2214
197,1,0.221
198,1,0.1484
199,1,0.22048
200,1,0.25216
201,1,0.15028
202,1,0.15936
203,1,0.14552
204,1,0.14576
205,1,0.14952
206,1,0.15756
207,1,0.14632
208,1,0.14288
209,1,0.14244
210,1,0.1452
211,1,0.1446
212,1,0.14588
213,1,0.14404
214,1,0.14568
215,1,0.14516
216,1,0.1432
217,1,0.14284
218,1,0.14272
219,1,0.14256
220,1,0.14016
221,1,0.1432
222,1,0.20832
223,1,0.14516
224,1,0.1418
225,1,0.14596
226,1,0.14852
227,1,0.16584
228,1,0.20816
229,1,0.14364
230,1,0.3534
231,1,0.38776
232,1,0.3524
233,1,0.33308
234,1,0.35688
235,1,0.33752
236,1,0.34776
237,1,0.33484
238,1,0.35432
239,1,0.3366
240,1,0.40144
241,1,0.3774
242,1,0.35364
243,1,0.34228
244,1,0.35192
245,1,0.34288
246,1,0.33276
247,1,0.369
248,1,0.33596
249,1,0.35396
250,1,0.38516
251,1,0.35744
252,1,0.3332
253,1,0.33204
254,1,0.35536
255,1,0.36864
256,1,0.33624
257,1,0.33468
258,1,0.33208
259,1,0.33232
260,1,0.36788
261,1,0.34776
262,1,0.34772
263,1,0.40768
264,1,0.3636
265,1,0.3692
266,1,0.39304
267,1,0.39336
268,1,0.40856
269,1,0.36096
270,1,0.34724
271,1,0.3908
272,1,0.35104
273,1,0.36352
274,1,0.33476
275,1,0.35108
276,1,0.33724
277,1,0.33772
278,1,0.39476
279,1,0.35128
280,1,0.42872
281,1,0.3364
282,1,0.37012
283,1,0.36668
284,1,0.36568
285,1,0.33248
286,1,0.41764
287,1,0.35604
288,1,0.3672
289,1,0.33144
290,1,0.33784
291,1,0.33896
292,1,0.3468
293,1,0.33144
294,1,0.33012
295,1,0.36292
296,1,0.37004
297,1,0.41672
298,1,0.40896
299,1,0.35348
300,1,0.33056
301,1,0.35528
302,1,0.35528
303,1,0.44196
304,1,0.4218
305,1,0.33496
306,1,0.36344
307,1,0.38732
308,1,0.339
309,1,0.33404
310,1,0.33016
311,1,0.3412
312,1,0.33732
313,1,0.33244
314,1,0.35496
315,1,0.3352
316,1,0.3408
317,1,0.33752
318,1,0.3412
319,1,0.33408
320,1,0.33812
321,1,0.35616
322,1,0.33264
323,1,0.35084
324,1,0.33464
325,1,0.3476
326,1,0.39884
327,1,0.36924
328,1,0.33796
329,1,0.33516
330,1,0.34596
331,1,0.35412
332,1,0.3634
333,1,0.33672
334,1,0.34624
335,1,0.33744
336,1,0.40596
337,1,0.3544
338,1,0.371
339,1,0.34156
340,1,0.35852
341,1,0.3748
342,1,0.33328
343,1,0.3318
344,1,0.38044
345,1,0.3706
346,1,0.35296
347,1,0.35368
348,1,0.36812
349,1,0.35452
350,1,0.41624
351,1,0.33528
352,1,0.33504
353,1,0.14384
354,1,0.14384
355,1,0.14136
356,1,0.1462
357,1,0.1416
358,1,0.14292
359,1,0.1494
360,1,0.2204
361,1,0.21428
362,1,0.14348
363,1,0.24884
364,1,0.14284
365,1,0.16436
366,1,0.14436
367,1,0.14364
368,1,0.13944
369,1,0.14076
370,1,0.14532
371,1,0.14348
372,1,0.14448
373,1,0.14272
374,1,0.1422
375,1,0.1448
376,1,0.13924
377,1,0.14368
378,1,0.14396
379,1,0.14532
380,1,0.14212
381,1,0.14388
382,1,0.14368
383,1,0.14404
384,1,0.14528
385,1,0.14328
386,1,0.14288
387,1,0.25424
388,1,0.25224
389,1,0.22288
390,1,0.22524
391,1,0.25784
392,1,0.14728
393,1,0.14572
394,1,0.27472
395,1,0.14716
396,1,0.14416
397,1,0.13988
398,1,0.15472
399,1,0.14552
400,1,0.14296
401,1,0.14376
402,1,0.2162
403,1,0.14584
404,1,0.21252
405,1,0.14112
406,1,0.14584
407,1,0.14364
408,1,0.14276
409,1,0.14104
410,1,0.14268
411,1,0.14896
412,1,0.14764
413,1,0.20692
414,1,0.15048
415,1,0.1452
416,1,0.14884
417,1,0.15028
418,1,0.15204
419,1,0.15424
420,1,0.15116
421,1,0.15072
422,1,0.14592
423,1,0.15036
424,1,0.15452
425,1,0.14896
426,1,0.152
427,1,0.1516
428,1,0.15344
429,1,0.14648
430,1,0.15312
431,1,0.15604
432,1,0.14896
433,1,0.22324
434,1,0.26372
435,1,0.14844
436,1,0.1554
437,1,0.15544
438,1,0.15228
439,1,0.14844
440,1,0.15024
441,1,0.14632
442,1,0.15004
443,1,0.15084
444,1,0.2122
445,1,0.14712
446,1,0.151
447,1,0.14892
448,1,0.15112
449,1,0.15288
450,1,0.15072
451,1,0.15244
452,1,0.15084
453,1,0.14812
454,1,0.15032
455,1,0.15288
456,1,0.22164
457,1,0.15424
458,1,0.14476
459,1,0.1494
460,1,0.16048
461,1,0.1484
462,1,0.15076
463,1,0.14956
464,1,0.15324
465,1,0.15
466,1,0.21284
467,1,0.25744
468,1,0.15044
469,1,0.14792
470,1,0.14896
471,1,0.14544
472,1,0.14556
473,1,0.14804
474,1,0.14424
475,1,0.1424
476,1,0.20924
477,1,0.14464
478,1,0.14264
479,1,0.14568
480,1,0.1436
481,1,0.14004
482,1,0.1434
483,1,0.14364
484,1,0.14476
485,1,0.21208
486,1,0.1444
487,1,0.14428
488,1,0.14328
489,1,0.14376
490,1,0.1406
491,1,0.16964
492,1,0.14872
493,1,0.1472
494,1,0.14692
495,1,0.14276
496,1,0.14808
497,1,0.14484
498,1,0.14536
499,1,0.15428
500,1,0.1686
501,1,0.16424
502,1,0.14648
503,1,0.22584
504,1,0.14612
505,1,0.14584
506,1,0.14664
507,1,0.14148
508,1,0.1462
509,1,0.14556
510,1,0.14656
511,1,0.14104
512,1,0.14572
513,1,0.26508
514,1,0.14852
515,1,0.14556
516,1,0.14272
517,1,0.14252
518,1,0.1418
519,1,0.1432
520,1,0.14652
521,1,0.14416
522,1,0.14556
523,1,0.1454
524,1,0.14732
525,1,0.1418
526,1,0.14652
527,1,0.14492
528,1,0.2554
529,1,0.1446
530,1,0.25184
531,1,0.2232
532,1,0.14444
533,1,0.14536
534,1,0.143
535,1,0.14316
536,1,0.15056
537,1,0.1594
538,1,0.14696
539,1,0.21208
540,1,0.14576
541,1,0.1452
542,1,0.1442
543,1,0.14652
544,1,0.1424
545,1,0.14684
546,1,0.1452
547,1,0.14784
548,1,0.14364
549,1,0.21452
550,1,0.14808
551,1,0.14472
552,1,0.14528
553,1,0.14424
554,1,0.14468
555,1,0.14768
556,1,0.16452
557,1,0.20724
558,1,0.14832
559,1,0.25296
560,1,0.14244
561,1,0.1482
562,1,0.1454
563,1,0.14572
564,1,0.14608
565,1,0.14248
566,1,0.1424
567,1,0.1458
568,1,0.14544
569,1,0.21216
570,1,0.14336
571,1,0.14672
572,1,0.14436
573,1,0.14416
574,1,0.144
575,1,0.14488
576,1,0.14456
577,1,0.21528
578,1,0.14536
579,1,0.14432
580,1,0.14468
581,1,0.14124
582,1,0.14532
583,1,0.14496
584,1,0.1464
585,1,0.14208
586,1,0.14496
587,1,0.21872
588,1,0.14296
589,1,0.14396
590,1,0.1406
591,1,0.14696
592,1,0.14356
593,1,0.14752
594,1,0.14444
595,1,0.15008
596,1,0.17252
597,1,0.14276
598,1,0.14484
599,1,0.14164
600,1,0.14152
601,1,0.14588
602,1,0.14592
603,1,0.14752
604,1,0.1474
605,1,0.14532
606,1,0.1472
607,1,0.14472
608,1,0.14272
609,1,0.14728
610,1,0.14536
611,1,0.14604
612,1,0.21372
613,1,0.21776
614,1,0.14588
615,1,0.1446
616,1,0.14564
617,1,0.14568
618,1,0.14248
619,1,0.15088
620,1,0.14572
621,1,0.14336
622,1,0.14252
623,1,0.16608
624,1,0.14616
625,1,0.1444
626,1,0.16504
627,1,0.14604
628,1,0.14452
629,1,0.2272
630,1,0.1468
631,1,0.14636
632,1,0.25672
633,1,0.14328
634,1,0.14692
635,1,0.14308
636,1,0.14304
637,1,0.13972
638,1,0.14356
639,1,0.14728
640,1,0.14628
641,1,0.14356
642,1,0.14504
643,1,0.14172
644,1,0.14284
645,1,0.1452
646,1,0.14152
647,1,0.1484
648,1,0.14596
649,1,0.14424
650,1,0.15056
651,1,0.14428
652,1,0.14572
653,1,0.21824
654,1,0.14412
655,1,0.14624
656,1,0.14392
657,1,0.14316
658,1,0.14496
659,1,0.21596
660,1,0.14172
661,1,0.14216
662,1,0.14636
663,1,0.14176
664,1,0.1454
665,1,0.1444
666,1,0.15208
667,1,0.14352
668,1,0.14216
669,1,0.14752
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,1,0.37912
833,1,0.42388
834,1,0.33896
835,1,0.33312
836,1,0.33584
837,1,0.3884
838,1,0.35512
839,1,0.33388
840,1,0.33492
841,1,0.33296
842,1,0.35372
843,1,0.33192
844,1,0.35196
845,1,0.35436
846,1,0.3888
847,1,0.37564
848,1,0.35748
849,1,0.38264
850,1,0.3702
851,1,0.33868
852,1,0.33696
853,1,0.333
854,1,0.33164
855,1,0.451
856,1,0.35768
857,1,0.35212
858,1,0.33352
